year,constituency_id,constituency,total_electors,total_votes_polled,total_valid_votes,turnout_percent,winner_name,winner_party,winner_party_raw,winner_votes,winner_vote_share,runner_name,runner_party,runner_party_raw,runner_votes,runner_vote_share,victory_margin_votes,victory_margin_percent,candidate_count,candidate_count_including_nota,nota_votes,nota_vote_share,tmc_vote_share,bjp_vote_share,left_inc_vote_share,others_vote_share,eci_source_url,turnout_available_from_source
2021,276,Durgapur Purba,256531.0,192929.0,192674.0,75.2069,PRADIP MAZUMDAR,AITC,AITC,79303.0,41.1592,COLONEL DIPTANSU CHAUDHURY,BJP,BJP,75557.0,39.2149,3746.0,1.9443,9,10,2628.0,1.364,41.1592,39.2149,15.4141,4.2118,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,277,Durgapur Paschim,269303.0,196982.0,196902.0,73.1451,LAKSHMAN CHANDRA GHORUI,BJP,BJP,91186.0,46.3103,BISWANATH PARIAL,AITC,AITC,76522.0,38.863,14664.0,7.4473,10,11,2624.0,1.3326,38.863,46.3103,9.5077,5.319,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,278,Raniganj,250813.0,182257.0,182211.0,72.6665,TAPAS BANERJEE,AITC,AITC,78164.0,42.8975,DR. BIJAN MUKHERJEE,BJP,BJP,74608.0,40.9459,3556.0,1.9516,7,8,2006.0,1.1009,42.8975,40.9459,11.9027,4.2539,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,279,Jamuria,221419.0,166933.0,166703.0,75.3924,HARERAM SINGH,AITC,AITC,71002.0,42.5919,TAPAS KUMAR ROY,BJP,BJP,62951.0,37.7624,8051.0,4.8295,6,7,2353.0,1.4115,42.5919,37.7624,14.8876,4.7581,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,280,Asansol Dakshin,274245.0,194943.0,194737.0,71.0835,AGNIMITRA PAUL,BJP,BJP,87881.0,45.128,SAYANI GHOSH,AITC,AITC,83394.0,42.8239,4487.0,2.3041,5,6,3466.0,1.7798,42.8239,45.128,8.2018,3.8463,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,281,Asansol Uttar,275796.0,193167.0,192907.0,70.0398,Ghatak Moloy,AITC,AITC,100931.0,52.3211,Krishnendu Mukherjee,BJP,BJP,79821.0,41.378,21110.0,10.9431,7,8,3348.0,1.7356,52.3211,41.378,0.2644,6.0365,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,282,Kulti,251671.0,174942.0,174767.0,69.5122,AJAY KUMAR PODDAR,BJP,BJP,81112.0,46.4115,UJJAL CHATTERJEE,AITC,AITC,80433.0,46.023,679.0,0.3885,6,7,3553.0,2.033,46.023,46.4115,3.3158,4.2497,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,283,Barabani,225596.0,169620.0,169207.0,75.1875,BIDHAN UPADHYAY,AITC,AITC,88430.0,52.2614,ARIJIT ROY,BJP,BJP,64973.0,38.3985,23457.0,13.8629,6,7,3039.0,1.796,52.2614,38.3985,5.8786,3.4615,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,284,Dubrajpur,241742.0,204870.0,204599.0,84.7474,Anup Kumar Saha,BJP,BJP,98083.0,47.9391,Debabrata Saha,AITC,AITC,94220.0,46.0511,3863.0,1.888,5,6,3157.0,1.543,46.0511,47.9391,2.9394,3.0704,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,285,Suri,263557.0,218986.0,218590.0,83.0887,BIKASH ROYCHOUDHURY,AITC,AITC,105871.0,48.4336,CHATTOPADHYAY JAGANNATH,BJP,BJP,98551.0,45.0849,7320.0,3.3487,6,7,1835.0,0.8395,48.4336,45.0849,4.7354,1.7461,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,286,Bolpur,273896.0,230664.0,230260.0,84.2159,SINHA CHANDRANATH,AITC,AITC,116443.0,50.5702,ANIRBAN GANGULY,BJP,BJP,94163.0,40.8942,22280.0,9.676,9,10,3337.0,1.4492,50.5702,40.8942,4.6221,3.9135,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,287,Nanoor,276777.0,235435.0,235328.0,85.0631,BIDHAN CHANDRA MAJHI,AITC,AITC,112116.0,47.6424,TARAKESWAR SAHA,BJP,BJP,105446.0,44.8081,6670.0,2.8343,4,5,2149.0,0.9132,47.6424,44.8081,5.4724,2.0771,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,288,Labpur,240044.0,212300.0,212027.0,88.4421,ABHIJIT SINHA (RANA),AITC,AITC,108423.0,51.1364,BISWAJIT MONDAL,BJP,BJP,90448.0,42.6587,17975.0,8.4777,7,8,3057.0,1.4418,51.1364,42.6587,3.0557,3.1492,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,289,Sainthia,255959.0,221998.0,221866.0,86.7319,NILABATI SAHA,AITC,AITC,110572.0,49.8373,PIYA SAHA,BJP,BJP,95329.0,42.9669,15243.0,6.8704,5,6,1742.0,0.7852,49.8373,42.9669,5.465,1.7308,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,290,Mayureswar,230682.0,199929.0,199425.0,86.6687,ABHIJIT ROY,AITC,AITC,100425.0,50.3573,Shyamapada Mondal,BJP,BJP,88350.0,44.3024,12075.0,6.0549,4,5,2803.0,1.4055,50.3573,44.3024,0.0,5.3403,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,291,Rampurhat,260812.0,217716.0,217323.0,83.4762,ASISH BANERJEE,AITC,AITC,103276.0,47.5219,SUBHASIS CHOUDHURY (KHOKAN),BJP,BJP,94804.0,43.6235,8472.0,3.8984,6,7,3381.0,1.5557,47.5219,43.6235,5.8286,3.026,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
2021,292,Hansan,248113.0,211176.0,210606.0,85.1128,Dr. ASOK KUMAR CHATTOPADHYAY,AITC,AITC,108289.0,51.4178,NIKHIL BANERJEE,BJP,BJP,57676.0,27.3857,50613.0,24.0321,5,6,2420.0,1.1491,51.4178,27.3857,19.4886,1.7079,https://old.eci.gov.in/files/file/14106-west-bengal-general-legislative-election-2021-including-ac-56-58/,True
